cube_id,t,box_index,x0,x1,y0,y1,z0,z1
C01,218,26,641,960,641,960,641,960
C02,553,16,321,640,641,960,321,640
C03,825,24,641,960,641,960,1,320
C04,217,11,321,640,1,320,641,960
C05,493,8,1,320,641,960,641,960
C06,22,17,321,640,641,960,641,960
C07,292,23,641,960,321,640,641,960
C08,976,1,1,320,1,320,321,640
C09,699,3,1,320,321,640,1,320
C10,778,12,321,640,321,640,1,320
C11,843,19,641,960,1,320,321,640
C12,273,22,641,960,321,640,321,640
C13,539,6,1,320,641,960,1,320
C14,302,13,321,640,321,640,321,640
C15,118,5,1,320,321,640,641,960
